CustCD,DeveCD,W/H_CD,ASSY_Gr,Rev,Place,No,SubNo,Rank,WorkClass,Wi_No,Wi_Type,Wi_Size,Wi_Col,Wi_Len,Wi_Add,J_??,Wi_Gr,Cir_S,Cir_L,Ter_L,W_L,ConnName_L,ConnNo_L,T_Conn_L,Tub_L,Ins_L,M_L,SAM_Hand_S_L,P_L,B_L,ConnID_L,FILLER_2,Cir_R,Ter_R,W_R,ConnName_R,ConnNo_R,T_Conn_R,Tub_R,Ins_R,M_R,SAM_Hand_S_R,P_R,B_R,ConnID_R,FILLER_3,ApplCD,FileName
D,D,D,D,D,1010,0821,0018,0018,,105,ALVUS,0.5,LA/LG,1262,,1162,,O08,#RA,FMG-M-P050,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,%SA,FSG-F-P050,,YSK-JC-22F-L,406,,,2,,,,,5660008D,,A C  FG   KL        UV X   b   fghijklmnopqrstuvwxyz  3,50A0337950A0337B  1  5
D,D,D,D,D,1010,0822,0018,0018,,105,ALVUS,0.5,LA/LG,1262,,  62,,,#RA,TSNYALM05,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,%SA,FSG-F-P050,,YSK-JC-22F-L,406,,,2,,,,,5660008D,,                                                    12,50A0337A50A0337B  1  5
D,D,D,D,D,1010,0823,0006,0006,,135,CIVUS,0.13,GR/,2383,, 715,,O02,KJA,NANSSF55-0,,ANSS-27FE,69,,,2,,,,,50700038,,SFB,SSGF01,,SSG/TSN4-20F,537,1,,1,,,,,5070000A,,A C  FG   KL        U          fghij     pqrstuvwxyz12,50A02B7250A01DDF 13  7
D,D,D,D,D,1010,0824,0006,0006,,143,CIVUS,0.13,SB/,2458,,1121,,,CT3,NANSSF55-0,,ANSS-27FC-B,71,1,,1,,,,,5070003A,,KQT,SSGF01,,SSG/TSN4-20F,537,1,,1,,,,,5070000A,,                                                    12,50A0339C50A03276 14  6
D,D,D,D,D,1010,0825,0018,0018,,1G9,CIVUS,0.35,LG/,824,,  38,,,&AG,SSGF,,SSG/TSN8-LIF35FA,302,,,2,,,,,5070006A,,ME1,SSGM,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,                                                    12,50A032FE50A03301 25 52
D,D,D,D,D,1010,0826,0008,0008,,1O2,CIVUS,0.5, L/,2644,,  84,,,&EU,SSGM,,SSG-TP-22M,595,1,,1,,,,,56600081,,&EY,TSN-F03,,SSG/TSN16-LIF63F,516,,,2,,,,,5070000B,,                                                    12,50A0339E50A0339F 15  1
D,D,D,D,D,1010,0827,0002,0002,,1P9,CIVUS,0.35,LG/,2369,,  66,,,KA5,SSGF,,SSG/TSN16-LIF63F,516,,,1,,,,,5070000B,,KFV,NANSSF55-9,,ANSS-21F-GR,70,1,,1,,,,,50700039,,                                                    12,50A031A450A033A0 36 16
D,D,D,D,D,1010,0828,0003,0003,,2Y6,ALVUS,1.25,LA/LG,1980,, 643,,O03,#AK,FMG-M-P125,,YSKTSNY25-63M-GR,510,,,2,,,,,5070005F,,U4P,TSNALF10,,TSN-A-4FA-GR,1,1,,1,,,,,5660019A,,A C  FG   KL        U                            xyz,50A0337C50A0337E 20  4
D,D,D,D,D,1010,0829,0003,0003,,610,ALVUS,1.25,LA/LG,1945,, 528,,O03,#AK,FMG-M-P125,,YSKTSNY25-63M-GR,510,,,2,,,,,5070005F,,U4P,FMG-F-P125,,TSN-A-4FA-GR,1,1,,1,,,,,56600195,,                     V X   b   fghijklmnopqrstuvw     3,50A0337C50A02D37 20  4
D,D,D,D,D,1010,0830,0003,0003,,2Y6,ALVUS,1.25,LA/LG,1979,, 693,,,#AK,TSNALM10,,YSKTSNY25-63M-GR,510,,,2,,,,,5070005F,,U4P,TSNALF10,,TSN-A-4FA-GR,1,1,,1,,,,,5660019A,,                                                    12,50A0337D50A0337E 20  4
D,D,D,D,D,1010,0831,0010,0010,,1X8,CIVUS,0.13,LG/,1103,,1050,,O13,&6Q,SSGF01,,YSK-JC-22F,421,,,1,,,,,56600077,,HKD,SSGF01,,SSG/TSN4-20F,562,,,2,,,,,50700055,,A C  FG   KL        U                            xyz,50A0315350A033A1 18  9
D,D,D,D,D,1010,0832,0004,0004,,385,CIVUS,0.13,LG/,2470,, 374,,,HKD,SSGF01,,SSG/TSN4-20F,562,,,2,,,,,50700055,,SF7,SSGF01,,YSK/TSN25-63F-GR,535,,,1,,,,,5070000E,,                                                    12,50A033A250A03284  9 61
D,D,D,D,D,1010,0833,0008,0008,,654,CIVUS,0.35,VI/,1465,,1108,,O08,&5D,SSGF,,YSK-JC-22F-B,419,,,2,,,,,50700063,,IS1,NANSSF55-9,,ANSS-24FA-B,55,1,,1,,,,,5070002F,,A C       KL                                     xyz,50A015F050A033A3  9  3
D,D,D,D,D,1010,0834,0028,0028,,480,CIVUS,0.35, R/,2203,, 112,,M08,#9L,SSGM,,YSKTSNY25-63M-GR,510,,,1,M08,,,,5070005F,,L2K,NANSSF55-9,,ANSS-24FA-B,55,1,,1,M08,,,,5070002F,,     FG             U,50A0318650A033A4 46  3
D,D,D,D,D,1010,0835,0008,0008,,480,CIVUS,0.35,LG/,2872,, 610,,,#VR,SSGF,,YSK/TSN25-63F-GR,535,,,2,,,,,5070000E,,L2K,NANSSF55-9,,ANSS-24FA-B,55,1,,1,,,,,5070002F,,                                                    12,50A0323350A033A5 30  3
D,D,D,D,D,1010,0836,0008,0008,,481,ALVUS,0.75,LA/R,696,, 106,,O08,#AA,TSNALM,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,MCD,FSG-F-P075,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,     FG             U  X         hij   no   stuvw,50A0316B50A033A6  7  8
D,D,D,D,D,1010,0837,0008,0008,,481,CIVUS,0.5, R/,2819,, 943,,,%F8,TSN-F03,,YSK/TSN25-63F-GR,535,,,2,,,,,5070000E,,MCD,SSGF,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,                                                    12,50A0322850A033A7  8  8
D,D,D,D,D,1010,0838,0008,0008,,491,ALVUS,0.75,LA/LG,708,, 382,,,MYP,TSNALM,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,MCG,FSG-F-P075,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,                                                    12,50A033A850A0329F  3 10
D,D,D,D,D,1010,0839,0007,0007,,1Y7,ALVUS,0.5,LA/L,638,,1190,,O05,%GR,FMG-F-P050,,TSN-12F-GR,415,,,2,,,,,5660017F,,BLM,FSG-M-P050,,SSG-TP-22M-L,511,,,1,,,,,50700059,,                     V     b   fg   klm  pqr          3,50A02A0050A03389 11 11
D,D,D,D,D,1010,0840,0011,0011,,5B8,ALVUS,0.5,LA/L,810,, 352,,O11,BLM,FSG-M-P050,,SSG-TP-22M-L,511,,,2,,,,,50700059,,Q1U,FSG-F-P050,,RSG-TP-6F-B,42,,,1,,,,,566000D4,,     FG             U,50A0338950A03388 11  3
D,D,D,D,D,1010,0841,0017,0017,,1Y7,ALVUS,0.5,LA/L,2179,, 935,,O05,%GR,FSG-F-P050,,SSG-JC-R4FJT,494,1,,1,,,,,566001A1,,BLM,FSG-M-P050,,SSG-TP-22M-L,511,,,2,,,,,50700059,,A C       KL                                     xyz,50A02DBB50A03389  2 11
D,D,D,D,D,1010,0842,0011,0011,,5B8,ALVUS,0.5,LA/L,810,, 734,,,BLM,YSKALM05,,SSG-TP-22M-L,511,,,2,,,,,50700059,,Q1U,FSG-F-P050,,RSG-TP-6F-B,42,,,1,,,,,566000D4,,                                                    12,50A0338A50A03388 11  3
D,D,D,D,D,1010,0843,0008,0008,,726,CIVUS,0.13, L/,2690,, 876,228,,#1W,SSGF01,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,IS3,NANSSF55-0,,ANSS-24FA-B,55,1,,1,,,,,5070002F,,                                                    12,50A031F550A032AB 30 21
D,D,D,D,D,1010,0844,0008,0008,,728,CIVUS,0.13, B/,2382,, 551, 65,O08,#1X,SSGF01,,YSK-CJC-12F,395,,,1,,,,,5070001C,,MWJ,SSGF01,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,     FG             U             ij          uvw,50A032F350A030D9  4  9
D,D,D,D,D,1010,0845,0009,0009,,788,CIVUS,0.13, R/,1514,, 888, 95,O09,#1P,SSGF01,,YSK-JC-22F-B,393,1,,1,,,,,50700056,,BYS,NANSSF55-0,,ETHERNET-34F-GR,11,1,,1,,,,,50700078,,A C  FG   KL        UV X   b   fghijklmnopqrstuvwxyz123,50A02E8E50A02EDE  4 25
D,D,D,D,D,1010,0846,0009,0009,,789,CIVUS,0.13, W/,1514,,  76, 95,O09,#2P,SSGF01,,YSK-JC-22F-B,393,1,,1,,,,,50700056,,BYR,NANSSF55-0,,ETHERNET-34F-GR,11,1,,1,,,,,50700078,,A C  FG   KL        UV X   b   fghijklmnopqrstuvwxyz123,50A02E8D50A02EFE 15 26
D,D,D,D,D,1010,0847,0007,0007,,822,CIVUS,0.13,LG/,2158,, 858,223,,%4W,SSGF01,,YSK-CJC-12F,375,,,1,,,,,507000BA,,GFK,NANSSF55-0,,ETHERNET-34FA,115,,,2,,,,,50700052,,                                                    12,50A033AD50A032D0  1 26
D,D,D,D,D,1010,0848,0007,0007,,823,CIVUS,0.13, W/,2158,, 856,223,,%4X,SSGF01,,YSK-CJC-12F,375,,,1,,,,,507000BA,,GFL,NANSSF55-0,,ETHERNET-34FA,115,,,2,,,,,50700052,,                                                    12,50A033AE50A032D5  7 25
D,D,D,D,D,1010,0849,0002,0002,,111,CIVUS,0.5, W/B,1226,,1199,,,+T6,SSGF,,YSK-JC-22F,421,,,2,,,,,56600077,,Z28,NANSSF55-2,,ANSS-27FE,69,1,,1,,,,,50700038,,                                                    12,50A0315050A032D7 20 17
D,D,D,D,D,1010,0850,0006,0006,,112,CIVUS,0.5, W/B,1298,, 971,,,+T7,SSGF,,YSK-JC-22F,421,,,2,,,,,56600077,,JT7,NANSSF55-2,,ANSS-27FC-B,71,1,,1,,,,,5070003A,,                                                    12,50A0314E50A032D8 21  4
D,D,D,D,D,1010,0851,0012,0012,,1I5,ALVUS,0.5,LA/SB,1525,,  93,,,#C1,YSKALF05,,YSK-JC-22F,421,,,2,,,,,56600077,,K3F,YSKALF05,,SSGTSN17LI45F-GR,301,1,,1,,,,,5660018A,,                                                    12,50A0315B50A033B1 13  2
D,D,D,D,D,1010,0852,0014,0014,,1M5,ALVUS,0.5,LA/GR,710,, 342,,O04,%3J,FSG-F-P050,,YSK-JC-22F,408,1,,1,,,,,5660018E,,B0S,FSG-F-P050,,RSG-TP-10F,33,1,,1,,,,,507000B5,,                     V     b   fg   klm  pqr          3,50A02D7350A033B2 11  6
D,D,D,D,D,1010,0853,0014,0014,,1M6,ALVUS,0.5,LA/GR,864,,1166,,O04,%SH,FSG-F-P050,,YSK-JC-22F-L,406,,,2,,,,,5660008D,,B0S,FSG-F-P050,,RSG-TP-10F,33,1,,1,,,,,507000B5,,                       X         hij   no   stuvw,50A0309050A033B3 10  6
D,D,D,D,D,1010,0854,0024,0024,,350,CIVUS,0.13,VI/,1148,, 375,,M04,P1L,NNASZF36-1,,ASZ-8FA-B,46,,,1,M04,,,,5660005F,,PY2,SSGM01,,SSG-TP-22M,555,,,1,M04,,,,50700003,,A C  FG   KL        U                            xyz12,50A017AB50A033B4  2  3
D,D,D,D,D,1010,0855,0024,0024,,2G7,CIVUS,0.35, L/,3277,,1023,,M04,R56,SSGM,,SSG-TP-22M,550,1,,1,M04,,,,50700008,,R6H,SSGM,,SSG-TP-22M,555,,,1,M04,,,,50700003,,                     V X   b        klmno             3,50A0305950A033B5 11  3
D,D,D,D,D,1010,0856,0005,0005,,192,CIVUS,0.13, L/,1711,, 260,,O05,$72,SSGM01,,SSG-TP-22M,555,,,2,,,,,50700003,,$C0,JSR,,  J,478,1,,1,,,,,566000F9,,A C  FG   KL        U                            xyz12,50A033B650A01400 10  6
D,D,D,D,D,1010,0857,0015,0015,,1O1,CIVUS,0.35, P/,889,, 182,,O11,D0F,SSGM,,SSG-TP-22M,555,,,2,,,,,50700003,,QLH,NANSSF55-9,,ANSS-30FF-B,67,1,,1,,,,,56600061,,                     V X   b   fghijklmnopqrstuvw     3,50A033B750A015B1 10 28
D,D,D,D,D,1010,0858,0006,0006,,1J7,ISHEK,0.13, W/,2414,, 635, 10,O05,R43,TSN-F01,,TSNR-10F-B,4,,,1,,,,,56600156,,R1J,SSGF01,,SSG/TSN16-LIF63F,531,,,1,,,,,50700002,,                               fghij     pqrstuvw,50A0253050A033B8  1 29
D,D,D,D,D,1010,0859,0003,0003,,1B4,CIVUS,0.13, G/,2969,, 485,146,O03,#GT,SSGF01,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,G35,NANSSF55-0,,ETHERNET-34FA,115,1,,1,,,,,50700052,,                     V X   b   fghijklmnopqrstuvw     3,50A033BB50A02B6C 24 31
D,D,D,D,D,1010,0860,0002,0002,,754,CIVUS,0.13,SB/,2594,, 486, 78,O06,#GT,SSGF01,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,#JG,SSGF01,,YSK-CJC-12F,353,1,,1,,,,,5070005B,,A C  FG   KL        U                            xyz12,50A033BA50A02B6F 24  6
D,D,D,D,D,1010,0861,0018,0018,,1T8,CIVUS,0.35,BE/,2411,,1150,,O03,CC5,SSGF,,SSG/TSN6-18F,562,,,1,,,,,507000AB,,MZP,SSGF,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,                       X         h     no   st,50A033BC50A016A4 17 20
D,D,D,D,D,1010,0862,0018,0018,,2A1,ALVUS,0.5,LA/BR,1210,, 400,,O08,+YE,JSS,,  J,461,1,,1,,,,,566000BB,,CC5,YSKALF05,,SSG/TSN6-18F,562,,,1,,,,,507000AB,,                     V     b   fg   klm  pqr          3,50A0112250A033BD  2 17
D,D,D,D,D,1010,0863,0018,0018,,2A9,CIVUS,0.13, P/,2412,, 302,,O08,GJ2,SSGF01,,SSG/TSN6-18F,562,,,1,,,,,507000AB,,MWH,SSGF01,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,                       X         hij   no   stuvw,50A033BE50A02DEB 13 37
D,D,D,D,D,1010,0864,0018,0018,,2B5,CIVUS,0.35, P/,2362,, 835,,O08,BS4,TSN-M03,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,GJ2,SSGF,,SSG/TSN6-18F,562,,,1,,,,,507000AB,,                     V     b   fg   klm  pqr          3,50A0319E50A033BF 25 13
D,D,D,D,D,1010,0865,0003,0003,,1A5,CIVUS,0.13,LG/,924,,1171,143,O03,#5G,SSGF01,,YSK-CJC-12F,378,,,2,,,,,507000BB,,GFK,NANSSF55-0,,ETHERNET-34FA,115,1,,1,,,,,50700052,,                       X         h     no   st,50A013FB50A032D1  2 26
D,D,D,D,D,1010,0866,0003,0003,,1A6,CIVUS,0.13, W/,924,, 438,143,O03,#6G,SSGF01,,YSK-CJC-12F,378,,,2,,,,,507000BB,,GFL,NANSSF55-0,,ETHERNET-34FA,115,1,,1,,,,,50700052,,                       X         h     no   st,50A013FF50A032D6  8 25
D,D,D,D,D,1010,0867,0009,0009,,1I7,ISHEK,0.3F,  /,2366,, 360,  8,O09,$CJ,SSGF,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,LU9,TSN-F03,,ANSS-A-12FE,3,,,1,,,,,566001AF,,                               fghij     pqrstuvw,50A031F850A02E1A 33  4
D,D,D,D,D,1010,0868,0008,0008,,830,CIVUS,0.13, L/,2172,,1076,116,O08,#5Y,SSGM01,,SSG-TP-22M-L,511,,,2,,,,,50700059,,IS3,NANSSF55-0,,ANSS-24FA-B,55,1,,1,,,,,5070002F,,A C       KL                                     xyz,50A01D1650A032AB 15 21
D,D,D,D,D,1010,0869,0008,0008,,831,CIVUS,0.13, W/,2172,, 476,116,O08,#6Y,SSGM01,,SSG-TP-22M-L,511,,,2,,,,,50700059,,IS4,NANSSF55-0,,ANSS-24FA-B,55,1,,1,,,,,5070002F,,A C       KL                                     xyz,50A01D0D50A032A8  4  6
D,D,D,D,D,1010,0870,0006,0006,,1P7,CIVUS,0.13, W/,2425,,  68,,,JZ4,SSGF01,,SSG/TSN16-LIF63F,516,,,2,,,,,5070000B,,KVS,NANSSF55-0,,ANSS-21FA,74,1,,1,,,,,5070003B,,                                                    12,50A031B350A032C8 63 17
D,D,D,D,D,1010,0871,0002,0002,,888,ALVUS,0.5,LA/R,2440,, 209,,O02,HZC,YSKALF05,,SSG-TP-22F-B,561,1,,1,,,,,507000AA,,LKK,YSKALF05,,SSG/TSN16-LIF63F,516,,,1,,,,,5070000B,,                     V X   b   fghijklmnopqrstuvw     3,50A02A6250A033C3  8 37
D,D,D,D,D,1010,0872,0016,0016,,5E3,ALVUS,0.75,LA/,320,,1256,,,+HX,FMG-F-P075,,TSNYEJC6L12FD-GR,626,1,,1,,,,,566000F4,,+JS,SSGALF,,YSK-JC-22F,421,,,2,,,,,56600077,,                                                    12,50A0329E50A03152 12 19
D,D,D,D,D,1010,0873,0008,0008,,729,CIVUS,0.13, W/,2382,, 707, 65,O08,#2X,SSGF01,,YSK-CJC-12F,395,,,1,,,,,5070001C,,MWK,SSGF01,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,     FG             U             ij          uvw,50A032F250A033C5 10 22
